platform,content,engagement,likes,comments,shares,sentiment,url,date
tiktok,"ayoh bangsa Johor kita undi PERIKATAN NASIONAL demi AGAMA,BANGSA DAN NEGARA",408,309.0,32.0,47.0,neutral,https://www.tiktok.com/@man.intan5/video/7659228305262169351,2026-07-08 14:57:23.794376+00:00
tiktok,"27.7.2026

LENSA PERARAKAN CALON PERIKATAN NASIONAL N05 DUN TENANG

#CikguMala 
#CikguMala4Tenang 
#BerkatPrihatinSejahtera 
#JohorMemilih 
#PRN16",386,280.0,43.0,11.0,negative,https://www.tiktok.com/@_ummuahmad_/video/7655883287327722772,2026-07-08 14:57:25.470581+00:00
tiktok,Ayuh warga N05 Tenang turun beramai ramai dan letakkan sepenuh keikhlasn tangan anda UNDI CALON PN CIKGU MALA beri lah peluang untuk kita merubah #DenganNamaAllahYangMahaPemurahLagiMahaMengasihani #Is,384,276.0,36.0,8.0,positive,https://www.tiktok.com/@amlin019/video/7657010233767693589,2026-07-08 14:57:22.330058+00:00
tiktok,"27 Jun 2026 | 11 Muharam 1448
Kenali Calon N.05 Tenang
 Suara Tenang, Harapan Baharu
Ayuh warga Tenang!
Masa depan kawasan kita bergantung kepada pilihan kita.
Pilih wakil yang: ✅ Mendengar suara raky",336,230.0,65.0,21.0,positive,https://www.tiktok.com/@roos_laila/video/7655996202156068117,2026-07-08 14:57:24.469934+00:00
tiktok,"11 CALON PERIKATAN NASIONAL (PAS) PRN JOHOR KE-16

1 - N.02 Jementah
Saifullah bin Abdul Wahab

2 - N.05 Tenang
Normala binti Sudirman

3 - N.13 Simpang Jeram
Arshed bin Yahya

4 - N.15 Maharani
Moham",312,216.0,13.0,36.0,neutral,https://www.tiktok.com/@pas_johor/video/7655382488830709012,2026-07-08 14:57:26.474265+00:00
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",309,297.0,6.0,0,positive,https://www.tiktok.com/@amirulasraf1987/video/7656682067010391314,2026-06-29 14:09:59+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,302,300.0,1.0,0,neutral,https://www.tiktok.com/@pemudaperikatannasional7/video/7656779611556138248,2026-06-29 13:43:52+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,300,300.0,0,0,neutral,nan,2026-07-08 22:57:22.905871+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,300,300.0,0,0,neutral,nan,2026-07-08 22:57:23.477342+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,300,300.0,0,0,neutral,nan,2026-07-08 22:57:23.793607+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,300,300.0,0,0,neutral,nan,2026-07-08 22:57:24.131354+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,300,300.0,0,0,neutral,nan,2026-07-08 22:57:24.469587+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,300,300.0,0,0,neutral,nan,2026-07-08 22:57:24.808700+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,300,300.0,0,0,neutral,nan,2026-07-08 22:57:25.150997+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,300,300.0,0,0,neutral,nan,2026-07-08 22:57:25.469879+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,300,300.0,0,0,neutral,nan,2026-07-08 22:57:25.810704+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,300,300.0,0,0,neutral,nan,2026-07-08 22:57:26.136719+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,300,300.0,0,0,neutral,nan,2026-07-08 22:57:26.473599+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,300,300.0,0,0,neutral,nan,2026-07-08 22:57:26.811403+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,300,300.0,0,0,neutral,nan,2026-07-08 22:57:27.133491+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,300,300.0,0,0,neutral,nan,2026-07-08 22:57:27.498336+00:00
tiktok,Semoga kali ni cikgu mala diberi tanggungjawab di kawasannya. AllahummaAmeen,300,300.0,0,0,neutral,nan,2026-07-08 22:57:27.811358+00:00
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",297,297.0,0,0,positive,nan,2026-07-08 22:57:22.905937+00:00
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",297,297.0,0,0,positive,nan,2026-07-08 22:57:23.477444+00:00
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",297,297.0,0,0,positive,nan,2026-07-08 22:57:23.793713+00:00
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",297,297.0,0,0,positive,nan,2026-07-08 22:57:24.131487+00:00
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",297,297.0,0,0,positive,nan,2026-07-08 22:57:24.469634+00:00
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",297,297.0,0,0,positive,nan,2026-07-08 22:57:24.808820+00:00
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",297,297.0,0,0,positive,nan,2026-07-08 22:57:25.151119+00:00
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",297,297.0,0,0,positive,nan,2026-07-08 22:57:25.469996+00:00
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",297,297.0,0,0,positive,nan,2026-07-08 22:57:25.810827+00:00
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",297,297.0,0,0,positive,nan,2026-07-08 22:57:26.136840+00:00
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",297,297.0,0,0,positive,nan,2026-07-08 22:57:26.473719+00:00
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",297,297.0,0,0,positive,nan,2026-07-08 22:57:26.811452+00:00
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",297,297.0,0,0,positive,nan,2026-07-08 22:57:27.133618+00:00
