platform,content,engagement,likes,comments,shares,sentiment,url,date
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:45.649760
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:45.954235
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:46.248327
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:46.537124
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:46.824626
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:47.115947
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:47.403613
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:47.689269
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:47.982145
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:48.521513
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:48.803253
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:49.096367
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:49.380668
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:49.669263
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:49.969059
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:50.302394
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:50.592693
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:50.888366
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:51.176426
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:51.464156
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:51.758612
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:52.039814
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:52.327591
tiktok,waduh masa iya zakat pak yg di tanya???......,2,2.0,0,0,negative,nan,2026-06-08 21:14:52.620757
instagram,"Bisnes Ibarat Menanam Pokok🌱

Ia bermula dengan menabur benih — idea, usaha, ilmu dan keberanian untuk bermula.
Kemudian perlu disiram dengan disiplin, dibaja dengan strategi, dijaga dari perosak bern",2,1.0,1.0,0,positive,https://www.instagram.com/p/DYg9rCVGM_b/,2026-05-19 09:22:46+00:00
instagram,"Syukur kepada Tuhan, selesai urusan renew lesen perniagaan Avasimall.com di DBKK🙏☺️
#renew #licensed #bussiness #lesen #perniagaan",2,2.0,0,0,positive,https://www.instagram.com/p/DXqIEwVCW3N/,2026-04-28 02:15:26+00:00
instagram,"Setiap pelanggan yang anda menangi, reputasi yang anda bina, dan pengiktirafan yang diterima oleh jenama anda ialah aset yang bernilai.

Persoalannya, adakah anda benar-benar memilikinya atau membiark",1,1.0,0,0,positive,https://www.instagram.com/p/DZRjc1jx6A_/,2026-06-07 06:16:44+00:00
instagram,"Maukah kamu… aku tunjukkan sebuah perniagaan yang akan membuatmu lepas dari perasaan sedih yang dalam?🤔🤔🤔

💡 Di zaman sekarang, cari uang itu sebenarnya lebih gampang.

Syaratnya satu : punya perniaga",1,1.0,0,0,positive,https://www.instagram.com/p/DY_JbZHvgeK/,2026-05-31 02:42:44+00:00
instagram,"DBKL perkenal inisiatif pembaharuan lesen perniagaan sehingga tiga tahun berkuat kuasa 1 Julai ini - Hannah

#digitalbernamatv #lesen #perniagaan #dbkl",1,1.0,0,0,neutral,https://www.instagram.com/p/DYjal9STbYL/,2026-05-20 08:14:00+00:00
instagram,"BANDAR SERI BEGAWAN, 13 MEI – Indeks utama Indeks Sentimen Perniagaan (BSI) iaitu Sub-indeks Keadaan Perniagaan ialah 42.4 pada Februari 2026 berbanding 55.2 pada Januari 2026, menunjukkan jangkaan ke",1,1.0,0,0,neutral,https://www.instagram.com/p/DYTLWFmkiNd/,2026-05-14 00:52:52+00:00
instagram,"Bab 3 : Penetapan visi, misi dan objektif perniagaan. 
Sesuai untuk ulang kaji cepat & persediaan SPM 💯
Save dan share dengan kawan supaya sama-sama skor✨
#fyp #fypmalaysia #perniagaan #tingkatan4 #sp",1,1.0,0,0,positive,https://www.instagram.com/p/DYMF9K_k1xJ/,2026-05-11 06:51:05+00:00
