Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,video_url,media_type,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,author_demographic,author_demo_confidence,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
tiktok,comment,7657010233767693589_comment_23,"Org pas ni memang unik ye,aku bru dua tiga kerat tahu nk jinak politik…ajak family bagai…makcik aq suare kat aq dlm gp family…(makcik dh lama jdi ahli pas waktu hang dlm peghut lagi)Allahu makcik aq…apapun,ini kali!🍃💚….prnjohor moga ada sinar buat doc ustzh cikgu mala!",https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,negative,2026-07-08 22:57:22.905908+00:00,4,0,0,0,0.0460585355758667,4,,,,,,negative,0.8464715480804443,multilingual,Unknown,Unknown,0.0,love,0.03594730794429779,0.010965000838041306,0.019615087658166885,0.02081841416656971,0.839900016784668,0.019322488456964493
tiktok,comment,7657010233767693589_comment_24,cikgu mala,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905912+00:00,0,0,0,0,0.5,0,,,,,,neutral,0.6278226971626282,english,Mixed/Urban,Unknown,0.0,love,0.11325947940349579,0.02851901948451996,0.1091131716966629,0.027310600504279137,0.442358136177063,0.022302478551864624
tiktok,comment,7657010233767693589_comment_25,Semoga Cikgu Mala menang kali ni di DUN Tenang slps PRK DUN Tenang 2011.,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905915+00:00,17,0,0,0,0.5,17,,,,,,neutral,0.9153790473937988,english,Mixed/Urban,Unknown,0.0,love,0.030296891927719116,0.02882620133459568,0.2551113963127136,0.014801195822656155,0.5287728309631348,0.01817350648343563
tiktok,comment,7657010233767693589_comment_26,"[Sticker] PAS simpati dengan bangsa melayu islam johor sebab populasi melayu islam johor 56%... india, cina dan lain-lain 43%... PAS tak nak undi berpecah... bila maruah dipermain… bila amanah dihina… bila agama dan prinsip dipijak sesuka hati… maka saat itu, PAS tidak lagi hanya diam memerhati... PAS akan bangkit berdiri... dengan ketegasan... dengan keberanian... dengan prinsip yang tidak boleh dijual beli... serta doakan PAS menang besar di johor.. supaya UAI dapat bebas berceramah di serata johor kembali... oh'ya kalau nak jadi ahli boleh daftar online.. tapi kalau nak join usrah dsb boleh jumpa mana-mana ajk PAS cawangan... atau pergi jumpa ajk PAS cawangan di tempat anda... SU PAS cawangan ada borang memohon keahlian PAS... yang paling penting ikuti program PAS di kawasan khususnya program tarbiyyah seperti usrah, liqa' fikri, pengajian dan lain-lain... jika memilih, maka pilihlah yang terbaik... jika terpilih, berilah yang terbaik.. PAS tak risau pada kekalahan... tapi risau bila tak berjuang... jom jaga Johor 😎✍️",https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,negative,2026-07-08 22:57:22.905918+00:00,3,0,0,0,0.0004957079887389915,3,,,,,,negative,0.9983476400375366,malay,Malay/Bumiputera,Unknown,0.0,love,0.2196057289838791,0.018421614542603493,0.04681740701198578,0.05648830160498619,0.44415053725242615,0.02308347076177597
tiktok,comment,7657010233767693589_comment_27,semoga cikgu mala menang,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905920+00:00,2,0,0,0,0.5,2,,,,,,neutral,0.8315073847770691,english,Mixed/Urban,Unknown,0.0,no_clear_emotion,0.08583591133356094,0.027960503473877907,0.14678101241588593,0.03171578794717789,0.3448752462863922,0.017040828242897987
tiktok,comment,7657010233767693589_comment_28,[Sticker],https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905923+00:00,1,0,0,0,0.5,1,,,,,,neutral,0.638904333114624,english,Mixed/Urban,Unknown,0.0,love,0.1529519110918045,0.06760036945343018,0.1107211709022522,0.050134241580963135,0.4213085174560547,0.036323435604572296
tiktok,comment,7657010233767693589_comment_29,[Sticker],https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905926+00:00,0,0,0,0,0.5,0,,,,,,neutral,0.638904333114624,english,Mixed/Urban,Unknown,0.0,love,0.1529519110918045,0.06760036945343018,0.1107211709022522,0.050134241580963135,0.4213085174560547,0.036323435604572296
tiktok,comment,7657010233767693589_comment_30,"Suami Cikgu Mala ialah Cikgu Maarof. Sahabat saya semasa di Segamat. Dah lama kami terpisah. Ingat lagi semasa PRK Tenang dulu, timbul isu beliau mengiringi isterinya ke pusat penamaan calon. Akhirnya beliau dipindahkan jauh ke daerah lain.",https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,negative,2026-07-08 22:57:22.905929+00:00,439,0,0,0,0.0006150305271148682,439,,,,,,negative,0.9979498982429504,malay,Malay/Bumiputera,Unknown,0.0,sadness,0.11907008290290833,0.03746715933084488,0.012192544527351856,0.6590471863746643,0.12339629977941513,0.024603480473160744
tiktok,comment,7657010233767693589_comment_31,[Sticker] بِسْمِ ٱللّٰهِ ٱلرَحْمٰنِ ٱلرَحِيمِ,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905932+00:00,6,0,0,0,0.5,6,,,,,,neutral,0.8579779267311096,english,Mixed/Urban,Unknown,0.0,love,0.04996483027935028,0.032102085649967194,0.11750922352075577,0.028137769550085068,0.670940637588501,0.02135363593697548
tiktok,comment,7657010233767693589_comment_32,semoga Allah berikan kemenangan kepada Calon PAS/PN. cikgu Normala 🥰,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,positive,2026-07-08 22:57:22.905934+00:00,538,0,0,0,0.8912623077630997,538,,,,,,positive,0.6375410258769989,multilingual,Unknown,Unknown,0.0,happy,0.0396118089556694,0.04344718158245087,0.457811176776886,0.018156686797738075,0.3781898617744446,0.018941465765237808
