platform,post_content,comment_content,engagement,sentiment,date
instagram,,Jadi bersatu kena pastikan pas kalah semua tempat dan bersatu ambil alih kawasan pas..,0,neutral,2026-06-10T03:04:53+00:00
instagram,,👏👏👏Bakal presiden PN yg baharu🫱🏼‍🫲🏽🎉🎉🎉,0,neutral,2026-06-10T01:39:43+00:00
instagram,,Toleh kanan toleh kiri puhh blkg puhh depan ..mana nk pi pun x tau la😂😂,0,neutral,2026-06-10T00:52:12+00:00
instagram,,Pru15 pon jentera PAS yg bertungkus lumus support.,0,neutral,2026-06-09T23:26:34+00:00
instagram,,Sebelum ini tersebar Azmin selalu bertemu Anwar. So boleh la join dapkr.,0,neutral,2026-06-09T23:25:25+00:00
instagram,,Ko yg goyah betul tak?...psl video semburit tu..,0,neutral,2026-06-09T15:56:49+00:00
instagram,,Goyah ke goyang.. nk tgk je bole gerak solo ke tak,0,neutral,2026-06-09T13:04:42+00:00
instagram,,Karma. Khianat apa. Yg kta buat pada orang. Akan terkena balik.,0,neutral,2026-06-09T12:50:49+00:00
instagram,,teruskn. . 😂,0,neutral,2026-06-09T12:40:21+00:00
instagram,,back to basic lah gabung dengan PH seperti 2018,0,neutral,2026-06-09T12:34:22+00:00
instagram,,"GOYAH TIDAK,  TERTIARAP jerrrrrrr. 😂😂😂😂😂😂",0,neutral,2026-06-09T12:28:23+00:00
instagram,,Karma is real,0,neutral,2026-06-09T12:26:25+00:00
instagram,,Tak goyah ye kita tengok sejauh mana bersatu ni goyah ke tak 😂😂😂😂,0,neutral,2026-06-09T12:18:18+00:00
instagram,,"Mantap Dato' Seri.. Bersatu tak lahir utk jadi bayang-bayang sesiapa. Ditolak PAS hanya menguji, bukan mematikan. Jalan terus boss!",0,neutral,2026-06-09T12:11:23+00:00
instagram,,Kesian dah takde sape nak kawan,0,neutral,2026-06-09T12:10:52+00:00
instagram,,😂😂😂😂😂,0,neutral,2026-06-09T12:09:19+00:00
instagram,,Tak goyah..mesti goyang..😂,0,neutral,2026-06-09T12:00:25+00:00
instagram,,kes mu ada la huru hara perikatan nasional.  hari tu wat pakatan harapan huru hara,0,neutral,2026-06-09T12:00:15+00:00
instagram,,hang mulut jahat sgt,0,neutral,2026-06-09T11:59:46+00:00
